# Time(s),U_avg(m/s)
9.650000139999999504e+00,1.067792186383127984e+01
9.700000140000000215e+00,1.070746597583736914e+01
9.750000149999999977e+00,1.071441780116903075e+01
9.800000150000000687e+00,1.071874989887076701e+01
9.850000149999999621e+00,1.072185461980827625e+01
9.900000150000000332e+00,1.072682370084626946e+01
9.950000149999999266e+00,1.073363422891509522e+01
1.000000014999999998e+01,1.074645943776691936e+01
1.005000015000000069e+01,1.077873937028915741e+01
1.010000014999999962e+01,1.079763195998417302e+01
1.015000015000000033e+01,1.079802224593720439e+01
1.020000014999999927e+01,1.081316091105463784e+01
1.025000014999999998e+01,1.082313726158004030e+01
1.030000015000000069e+01,1.082810939769398573e+01
1.035000014999999962e+01,1.086119281519193613e+01
1.040000015000000033e+01,1.085868536160328901e+01
1.045000016000000009e+01,1.085333134099518659e+01
1.050000016000000080e+01,1.087364835985341394e+01
1.055000015999999974e+01,1.089566629224862204e+01
1.060000016000000045e+01,1.090075757632474662e+01
1.065000015999999938e+01,1.089128989594556707e+01
1.070000016000000009e+01,1.090691966452248884e+01
1.075000016000000080e+01,1.091466199075706278e+01
1.080000015999999974e+01,1.089378665676837343e+01
1.085000016000000045e+01,1.089406390491113363e+01
1.090000015999999938e+01,1.089911241792391294e+01
1.095000016000000009e+01,1.090962798935506228e+01
1.100000016000000080e+01,1.092737798064355559e+01
1.105000015999999974e+01,1.093745514867541324e+01
1.110000016999999950e+01,1.093056213355585093e+01
1.115000017000000021e+01,1.091664626258870996e+01
1.120000016999999914e+01,1.093297335225196676e+01
1.125000016999999986e+01,1.092675016253515885e+01
1.130000017000000057e+01,1.094348128599323644e+01
1.135000016999999950e+01,1.094336442933802545e+01
1.140000017000000021e+01,1.094778894308734785e+01
1.145000016999999914e+01,1.097393122801946852e+01
1.150000016999999986e+01,1.097916228182045373e+01
1.155000017000000057e+01,1.097137565698456108e+01
1.160000016999999950e+01,1.097612630009189338e+01
1.165000017000000021e+01,1.097437650533965758e+01
1.170000016999999914e+01,1.095880172812989350e+01
1.175000018000000068e+01,1.095440394629516234e+01
1.180000017999999962e+01,1.094834343937286469e+01
1.185000018000000033e+01,1.097095711157896147e+01
1.190000017999999926e+01,1.100351123716800750e+01
1.195000017999999997e+01,1.099881405788985766e+01
1.200000018000000068e+01,1.102927851152686678e+01
1.205000017999999962e+01,1.106007673221177257e+01
1.210000018000000033e+01,1.108132249415979409e+01
1.215000017999999926e+01,1.110294708552602039e+01
1.220000017999999997e+01,1.110468313243646499e+01
1.225000018000000068e+01,1.111252627617749589e+01
1.230000017999999962e+01,1.110457544100911242e+01
1.235000018000000033e+01,1.111073600166887942e+01
1.240000017999999926e+01,1.110651694177741433e+01
1.245000019000000080e+01,1.112279285891845682e+01
1.250000018999999973e+01,1.112578301450771612e+01
1.255000019000000044e+01,1.114599234193859090e+01
1.260000018999999938e+01,1.117730610669061164e+01
1.265000019000000009e+01,1.118988156308325621e+01
1.270000019000000080e+01,1.121663409943704437e+01
1.275000018999999973e+01,1.123633322918372279e+01
1.280000019000000044e+01,1.123872229857918015e+01
1.285000018999999938e+01,1.122224321888724674e+01
1.290000019000000009e+01,1.121743300179882574e+01
1.295000019000000080e+01,1.118982657171609674e+01
1.300000018999999973e+01,1.120147099371198252e+01
1.305000019000000044e+01,1.120359961788242131e+01
1.310000020000000021e+01,1.120059113183743982e+01
1.315000019999999914e+01,1.119565412909695645e+01
1.320000019999999985e+01,1.119859693100894482e+01
1.325000020000000056e+01,1.120794393588797178e+01
1.330000019999999950e+01,1.119341246711624471e+01
1.335000020000000021e+01,1.117152590298702641e+01
1.340000019999999914e+01,1.116153427708186108e+01
1.345000019999999985e+01,1.116207808060154250e+01
1.350000020000000056e+01,1.116388133918296077e+01
1.355000019999999950e+01,1.119393946771818449e+01
1.360000020000000021e+01,1.119816311022358057e+01
1.365000019999999914e+01,1.119523176484641702e+01
1.370000019999999985e+01,1.119991901512772081e+01
1.375000020000000056e+01,1.121175208806372048e+01
1.380000021000000032e+01,1.121493624097601582e+01
1.385000020999999926e+01,1.122248609742553072e+01
1.390000020999999997e+01,1.125438414545361354e+01
1.395000021000000068e+01,1.125330799494907374e+01
1.400000020999999961e+01,1.124470948367859791e+01
1.405000021000000032e+01,1.125453537171329899e+01
1.410000020999999926e+01,1.124969002125141593e+01
1.415000020999999997e+01,1.127938917836213051e+01
1.420000021000000068e+01,1.130071360851594875e+01
1.425000020999999961e+01,1.128892407041228374e+01
1.430000021000000032e+01,1.128272455753411307e+01
1.435000020999999926e+01,1.130775937743317705e+01
1.440000020999999997e+01,1.132284228741446519e+01
1.445000021999999973e+01,1.135333041789011510e+01
1.450000022000000044e+01,1.135066180904493294e+01
1.455000021999999937e+01,1.134233290822733586e+01
1.460000022000000008e+01,1.135849807886506824e+01
1.465000022000000079e+01,1.135214581218923335e+01
1.470000021999999973e+01,1.137232535262956290e+01
1.475000022000000044e+01,1.137268356028508265e+01
1.480000021999999937e+01,1.139307771981113149e+01
1.485000022000000008e+01,1.138156313854326207e+01
1.490000022000000079e+01,1.138894802089130032e+01
1.495000021999999973e+01,1.137278590532952016e+01
1.500000022000000044e+01,1.135996986170555623e+01
1.505000021999999937e+01,1.137550492292792903e+01
1.510000022999999914e+01,1.138398657754319210e+01
1.515000022999999985e+01,1.140660177728726588e+01
1.520000023000000056e+01,1.143771161571940453e+01
1.525000022999999949e+01,1.144293121298556493e+01
1.530000023000000020e+01,1.143745498933932936e+01
1.535000022999999914e+01,1.144380420093921202e+01
1.540000022999999985e+01,1.143887483588861009e+01
1.545000023000000056e+01,1.142108130976778568e+01
1.550000022999999949e+01,1.144445416834826901e+01
1.555000023000000020e+01,1.145611768456886281e+01
1.560000022999999914e+01,1.145273266041263938e+01
1.565000022999999985e+01,1.143461300493380151e+01
1.570000023000000056e+01,1.142948964256016708e+01
1.575000022999999949e+01,1.145170615489234045e+01
1.580000023999999925e+01,1.146650341527200112e+01
1.585000023999999996e+01,1.144028322590306956e+01
1.590000024000000067e+01,1.144438313783235550e+01
1.595000023999999961e+01,1.142949651648106446e+01
1.600000023999999854e+01,1.142516441877932820e+01
1.605000023999999925e+01,1.141594343578337423e+01
1.610000023999999996e+01,1.141475959385148364e+01
1.615000024000000067e+01,1.141336495167881537e+01
1.620000024000000138e+01,1.139789786589640208e+01
1.625000023999999854e+01,1.141497268539922416e+01
1.630000023999999925e+01,1.141551114253598875e+01
1.635000023999999996e+01,1.142458089927225373e+01
1.640000024000000067e+01,1.142049855402969882e+01
1.645000024999999866e+01,1.141603356052399576e+01
1.650000024999999937e+01,1.140306476310236938e+01
1.655000025000000008e+01,1.139353139859019315e+01
1.660000025000000079e+01,1.138413780380287754e+01
1.665000025000000150e+01,1.136816739425716527e+01
1.670000024999999866e+01,1.137055417234565624e+01
1.675000024999999937e+01,1.139546067905468263e+01
1.680000025000000008e+01,1.140529649608623153e+01
1.685000025000000079e+01,1.140687749789204730e+01
1.690000025000000150e+01,1.139974618684813024e+01
1.695000024999999866e+01,1.139015935850677153e+01
1.700000024999999937e+01,1.137495119041139802e+01
1.705000025000000008e+01,1.139937499511980867e+01
1.710000025000000079e+01,1.141099497650806782e+01
1.715000025999999878e+01,1.140907333373345978e+01
1.720000025999999949e+01,1.142225598647181606e+01
1.725000026000000020e+01,1.141568910071026544e+01
1.730000026000000091e+01,1.141760692463992832e+01
1.735000026000000162e+01,1.144085910772025905e+01
1.740000025999999878e+01,1.144343682805583029e+01
1.745000025999999949e+01,1.146181616499069555e+01
1.750000026000000020e+01,1.146890241366430452e+01
1.755000026000000091e+01,1.147906970643678370e+01
1.760000026000000162e+01,1.150943868895025446e+01
1.765000025999999878e+01,1.148380354662637437e+01
1.770000025999999949e+01,1.147292671246374773e+01
1.775000026000000020e+01,1.148312226468879516e+01
1.780000027000000173e+01,1.148297867611899292e+01
1.785000026999999889e+01,1.148955778218435775e+01
1.790000026999999960e+01,1.146913765451270706e+01
1.795000027000000031e+01,1.147826240261613329e+01
1.800000027000000102e+01,1.149914079168077485e+01
1.805000027000000173e+01,1.149491791294436815e+01
1.810000026999999889e+01,1.149936457599434902e+01
1.815000026999999960e+01,1.150934474536469132e+01
1.820000027000000031e+01,1.148529900630550138e+01
1.825000027000000102e+01,1.148285265423591994e+01
1.830000027000000173e+01,1.148242036098853092e+01
1.835000026999999889e+01,1.146043756196678487e+01
1.840000026999999960e+01,1.143002580838996884e+01
1.845000027000000031e+01,1.142717618629455600e+01
1.850000027999999830e+01,1.142484669088018734e+01
1.855000027999999901e+01,1.145054675356807650e+01
1.860000027999999972e+01,1.144655987944905995e+01
1.865000028000000043e+01,1.144484445430129860e+01
1.870000028000000114e+01,1.147135487588579039e+01
1.875000027999999830e+01,1.147722673186797415e+01
1.880000027999999901e+01,1.148149849181963411e+01
1.885000027999999972e+01,1.145561054196061868e+01
1.890000028000000043e+01,1.144685393050956179e+01
1.895000028000000114e+01,1.142675458581300418e+01
1.900000027999999830e+01,1.142631007226180451e+01
1.905000027999999901e+01,1.143359871971731678e+01
1.910000027999999972e+01,1.142589458193215890e+01
1.915000029000000126e+01,1.144025420268151194e+01
1.920000028999999842e+01,1.144921550422143852e+01
1.925000028999999913e+01,1.145952027541181373e+01
1.930000028999999984e+01,1.147550748787527297e+01
1.935000029000000055e+01,1.147674173856039381e+01
1.940000029000000126e+01,1.146672949089254168e+01
1.945000028999999842e+01,1.148546627171394086e+01
1.950000028999999913e+01,1.149068281390414725e+01
1.955000028999999984e+01,1.146849303348656690e+01
1.960000029000000055e+01,1.146261506735247693e+01
1.965000029000000126e+01,1.147714118974128361e+01
1.970000028999999842e+01,1.148769342208387378e+01
1.975000028999999913e+01,1.148252346980195426e+01
1.980000030000000066e+01,1.148168408768379223e+01
1.985000030000000137e+01,1.148556861675837659e+01
1.990000029999999853e+01,1.150505694626427733e+01
1.995000029999999924e+01,1.148659206720271975e+01
2.000000029999999995e+01,1.148940961100062275e+01
2.005000030000000066e+01,1.151086617318941840e+01
2.010000030000000137e+01,1.153503869790067249e+01
2.015000029999999853e+01,1.148782784542581936e+01
2.020000029999999924e+01,1.148922401513646108e+01
2.025000029999999995e+01,1.151813725395819965e+01
2.030000030000000066e+01,1.148681890659225147e+01
2.035000030000000137e+01,1.147263495271021050e+01
2.040000029999999853e+01,1.149013442777053484e+01
2.045000029999999924e+01,1.147099514069229542e+01
2.050000031000000078e+01,1.147446112436127663e+01
2.055000031000000149e+01,1.148743144932088178e+01
2.060000030999999865e+01,1.148674711230734857e+01
2.065000030999999936e+01,1.149473002577324010e+01
2.070000031000000007e+01,1.149841826621782559e+01
2.075000031000000078e+01,1.148980677087454794e+01
2.080000031000000149e+01,1.148879630450300482e+01
2.085000030999999865e+01,1.147196283600049149e+01
2.090000030999999936e+01,1.146750395264669464e+01
2.095000031000000007e+01,1.149484459112148826e+01
2.100000031000000078e+01,1.148668448325030589e+01
2.105000031000000149e+01,1.150002141732430339e+01
2.110000030999999865e+01,1.153936239414353615e+01
2.115000032000000019e+01,1.153540607078405067e+01
2.120000032000000090e+01,1.149883604785443403e+01
2.125000032000000161e+01,1.153496766738475898e+01
2.130000031999999877e+01,1.152363486313610785e+01
2.135000031999999948e+01,1.150630647232916459e+01
2.140000032000000019e+01,1.153180871884907788e+01
2.145000032000000090e+01,1.153481262228013016e+01
2.150000032000000161e+01,1.153848405980697223e+01
2.155000031999999877e+01,1.155987417409378359e+01
2.160000031999999948e+01,1.155480351178034581e+01
2.165000032000000019e+01,1.157508157842016772e+01
2.170000032000000090e+01,1.158630592747248045e+01
2.175000032000000161e+01,1.157391224809905772e+01
2.180000031999999877e+01,1.157086939244960000e+01
2.185000033000000030e+01,1.159573465563325811e+01
2.190000033000000101e+01,1.158514347107226072e+01
2.195000033000000172e+01,1.161094511503559445e+01
2.200000032999999888e+01,1.163824450998501803e+01
2.205000032999999959e+01,1.163179524464766779e+01
2.210000033000000030e+01,1.162068851601955899e+01
2.215000033000000101e+01,1.162590582197875300e+01
2.220000033000000172e+01,1.162480217579063435e+01
2.225000032999999888e+01,1.161792519981982608e+01
2.230000032999999959e+01,1.164130569609019439e+01
2.235000033000000030e+01,1.166403546118251455e+01
2.240000033000000101e+01,1.166206722849962318e+01
2.245000033000000172e+01,1.167539041473182770e+01
2.250000033999999971e+01,1.168011661723153694e+01
2.255000034000000042e+01,1.168345887032441155e+01
2.260000034000000113e+01,1.170777880245040947e+01
2.265000033999999829e+01,1.168636653886293431e+01
2.270000033999999900e+01,1.169474584843376341e+01
2.275000033999999971e+01,1.169461982655069221e+01
2.280000034000000042e+01,1.171188406076261579e+01
2.285000034000000113e+01,1.172717471590872762e+01
2.290000033999999829e+01,1.172758638739342985e+01
2.295000033999999900e+01,1.169436014509466482e+01
2.300000033999999971e+01,1.169913446504063614e+01
2.305000034000000042e+01,1.170592208003981227e+01
2.310000034000000113e+01,1.171655603566415138e+01
2.315000033999999829e+01,1.173106841021116686e+01
2.320000034999999983e+01,1.176037957267582001e+01
2.325000035000000054e+01,1.175920718727875247e+01
2.330000035000000125e+01,1.175578779351805636e+01
2.335000034999999841e+01,1.175287248728965039e+01
2.340000034999999912e+01,1.175094091551819453e+01
2.345000034999999983e+01,1.176741770390316155e+01
2.350000035000000054e+01,1.179813954768923701e+01
2.355000035000000125e+01,1.179432604913056792e+01
2.360000034999999841e+01,1.182105872749066044e+01
2.365000034999999912e+01,1.181436200100109524e+01
2.370000034999999983e+01,1.180667924874761177e+01
2.375000035000000054e+01,1.181504481047665145e+01
2.380000035000000125e+01,1.185802361898724122e+01
2.385000035999999923e+01,1.188281708788599289e+01
2.390000035999999994e+01,1.189526652239556448e+01
2.395000036000000065e+01,1.189369086697266553e+01
2.400000036000000136e+01,1.187890200805187924e+01
2.405000035999999852e+01,1.187056241446844318e+01
2.410000035999999923e+01,1.187448971460637104e+01
2.415000035999999994e+01,1.186898523150756901e+01
2.420000036000000065e+01,1.188180356643849578e+01
2.425000036000000136e+01,1.189457454769214984e+01
2.430000035999999852e+01,1.189344493335842934e+01
2.435000035999999923e+01,1.188877754107082119e+01
2.440000035999999994e+01,1.190770068152536965e+01
2.445000036000000065e+01,1.193937341770189775e+01
2.450000036999999864e+01,1.195022428371892254e+01
2.455000036999999935e+01,1.196200007398079812e+01
2.460000037000000006e+01,1.195628631817919718e+01
2.465000037000000077e+01,1.194799025942809578e+01
2.470000037000000148e+01,1.194262707359213138e+01
2.475000036999999864e+01,1.194767253152895314e+01
2.480000036999999935e+01,1.198081017662507364e+01
2.485000037000000006e+01,1.197773677021608663e+01
2.490000037000000077e+01,1.198799266019121035e+01
2.495000037000000148e+01,1.198904437008812351e+01
2.500000036999999864e+01,1.198830504170743261e+01
2.505000036999999935e+01,1.200545241926414342e+01
2.510000037000000006e+01,1.199653999893946832e+01
2.515000037000000077e+01,1.199426243981630691e+01
2.520000037999999876e+01,1.203086224973646878e+01
2.525000037999999947e+01,1.201662483202524889e+01
2.530000038000000018e+01,1.201476352700071892e+01
2.535000038000000089e+01,1.202797749426759566e+01
2.540000038000000160e+01,1.202114863574305126e+01
2.545000037999999876e+01,1.201667753208544198e+01
2.550000037999999947e+01,1.201406238706944229e+01
2.555000038000000018e+01,1.201440455557620801e+01
2.560000038000000089e+01,1.202669588990519678e+01
2.565000038000000160e+01,1.203345142660686484e+01
2.570000037999999876e+01,1.202718622959569927e+01
2.575000037999999947e+01,1.202477882974452150e+01
2.580000038000000018e+01,1.206577107511649771e+01
2.585000039000000172e+01,1.208729943159019804e+01
2.590000038999999887e+01,1.209206535007729677e+01
2.595000038999999958e+01,1.209055996140132194e+01
2.600000039000000029e+01,1.208412979028867973e+01
2.605000039000000100e+01,1.209179421208644278e+01
2.610000039000000172e+01,1.208459187052661221e+01
2.615000038999999887e+01,1.207155586143401393e+01
2.620000038999999958e+01,1.209146350011450188e+01
2.625000039000000029e+01,1.212125125442786278e+01
2.630000039000000100e+01,1.210714826005858669e+01
2.635000039000000172e+01,1.212023849674935505e+01
2.640000038999999887e+01,1.211088003533550328e+01
2.645000038999999958e+01,1.212115043692140404e+01
2.650000039000000029e+01,1.212431778691595774e+01
2.655000039999999828e+01,1.213315535787977772e+01
2.660000039999999899e+01,1.213424143738116356e+01
2.665000039999999970e+01,1.213083655523124449e+01
2.670000040000000041e+01,1.215059525895901338e+01
2.675000040000000112e+01,1.215044556023730138e+01
2.680000039999999828e+01,1.212955265956188455e+01
2.685000039999999899e+01,1.213835433338325309e+01
2.690000039999999970e+01,1.211975579474873754e+01
2.695000040000000041e+01,1.212135970962420473e+01
2.700000040000000112e+01,1.214531074132884569e+01
2.705000039999999828e+01,1.215496554511016392e+01
2.710000039999999899e+01,1.215736836234741070e+01
2.715000039999999970e+01,1.215697425754943772e+01
2.720000041000000124e+01,1.217097796195023562e+01
2.725000040999999840e+01,1.219660241150828028e+01
2.730000040999999911e+01,1.220477092083833348e+01
2.735000040999999982e+01,1.221204047406913595e+01
2.740000041000000053e+01,1.223250490034210891e+01
2.745000041000000124e+01,1.223205809548394285e+01
2.750000040999999840e+01,1.224811481092533683e+01
2.755000040999999911e+01,1.227432430752843295e+01
2.760000040999999982e+01,1.227032444933661459e+01
2.765000041000000053e+01,1.226469547189271658e+01
2.770000041000000124e+01,1.227168013929087564e+01
2.775000040999999840e+01,1.227907876948070687e+01
2.780000040999999911e+01,1.226869685762251017e+01
2.785000040999999982e+01,1.228485668187732571e+01
2.790000042000000136e+01,1.227462981512375784e+01
2.795000041999999851e+01,1.225985470404476096e+01
2.800000041999999922e+01,1.225910086405329302e+01
2.805000041999999993e+01,1.224628482042932909e+01
2.810000042000000064e+01,1.226268446814647817e+01
2.815000042000000136e+01,1.227636662580319182e+01
2.820000041999999851e+01,1.226852959221406714e+01
2.825000041999999922e+01,1.226553103516593524e+01
2.830000041999999993e+01,1.225554933825761772e+01
2.835000042000000064e+01,1.226146014645820514e+01
2.840000042000000136e+01,1.226577620501118560e+01
2.845000041999999851e+01,1.227926894795879775e+01
2.850000041999999922e+01,1.227160910877496569e+01
2.855000043000000076e+01,1.226863193725850465e+01
2.860000043000000147e+01,1.227287085514366360e+01
2.865000042999999863e+01,1.229004114577002404e+01
2.870000042999999934e+01,1.229414640408222859e+01
2.875000043000000005e+01,1.231800960235321440e+01
2.880000043000000076e+01,1.232909800052560456e+01
2.885000043000000147e+01,1.232864890436047212e+01
2.890000042999999863e+01,1.232977088100431295e+01
2.895000042999999934e+01,1.233183916742467368e+01
