Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
764.72498,1.0,764.725,0.025,0.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287800.0,0.0,0.0,0.0,0.0,0.933791,0.933791,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.1839,0.1839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183902,0.183902,0.183902,0.183902,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.75,1.0,764.75,0.025,0.183902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287700.0,0.0,0.0,0.0,0.0,0.933778,0.933778,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183902,0.183902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183903,0.183903,0.183903,0.183903,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.77502,1.0,764.775,0.025,0.183903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287500.0,0.0,0.0,0.0,0.0,0.933766,0.933766,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183903,0.183903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183905,0.183905,0.183905,0.183905,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.79999,1.0,764.8,0.025,0.183905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287400.0,0.0,0.0,0.0,0.0,0.933753,0.933753,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183905,0.183905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183907,0.183907,0.183907,0.183907,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.82501,1.0,764.825,0.025,0.183907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287200.0,0.0,0.0,0.0,0.0,0.933741,0.933741,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183907,0.183907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183908,0.183908,0.183908,0.183908,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.84998,1.0,764.85,0.025,0.183908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287100.0,0.0,0.0,0.0,0.0,0.933729,0.933729,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183908,0.183908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18391,0.18391,0.18391,0.18391,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.875,1.0,764.875,0.025,0.18391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287000.0,0.0,0.0,0.0,0.0,0.933716,0.933716,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.18391,0.18391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183912,0.183912,0.183912,0.183912,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.90002,1.0,764.9,0.025,0.183912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10286800.0,0.0,0.0,0.0,0.0,0.933704,0.933704,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183912,0.183912,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183913,0.183913,0.183913,0.183913,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.92499,1.0,764.925,0.025,0.183913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10286700.0,0.0,0.0,0.0,0.0,0.933692,0.933692,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183913,0.183913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183915,0.183915,0.183915,0.183915,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.95001,1.0,764.95,0.025,0.183915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10286600.0,0.0,0.0,0.0,0.0,0.933679,0.933679,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183915,0.183915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183917,0.183917,0.183917,0.183917,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.97498,1.0,764.975,0.025,0.183917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10286400.0,0.0,0.0,0.0,0.0,0.933667,0.933667,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183917,0.183917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183918,0.183918,0.183918,0.183918,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
